saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces
2005,9,1556281.690140845,6060,5,5,2,1931,Fulton,Southwest,24535,2
2005,4,308803.1388745483,2649,3,1,1.5,1900,Holland,Northeast,7138,0
2013,5,159752.30576170905,1824,2,1,1,1918,Standish,Powderhorn,4880,0
2009,4,169572.40925395727,2050,3,2,1.2,1920,Tangletown,Southwest,5418,1
2014,12,851221.2383387231,2710,4,4,2,1951,Fulton,Southwest,5670,2
2015,6,162728.63833171333,1880,3,1,1.5,1900,Harrison,Near North,4480,0
2014,9,635122.7276746802,3110,3,4,1.7,1932,Prospect Park - East River Road,University,10800,2
2013,1,370579.0857177388,2528,4,3,1,1987,St. Anthony East,Northeast,9075,2
2015,4,169174.42067207966,1600,3,1,1.5,1900,East Phillips,Phillips,4938,0
2009,6,147643.52157921693,2340,3,2,1.7,1911,McKinley,Camden,6280,0
2009,11,231316.90987598625,2946,4,3,2,1922,Cooper,Longfellow,4160,0
2006,9,266977.51479289937,1879,3,2,2,1911,King Field,Southwest,3560,0
2005,1,227886.273736952,2064,3,2,1.5,1915,McKinley,Camden,6280,0
2013,4,184639.07643325842,1908,3,2,1,1922,Northeast Park,Northeast,6250,0
2005,11,238819.72918727918,2052,4,2,1.2,1947,Standish,Powderhorn,5040,0
2007,7,192495.86952018997,1668,3,1,1.5,1906,Willard - Hay,Near North,5418,0
2015,11,323881.8067617019,1864,3,1,1.2,1943,Bryn - Mawr,Calhoun-Isles,6400,1
2014,5,124059.53114579729,2248,4,2,1,1945,Lind - Bohanon,Camden,5120,0
2015,12,199797.5782403338,1637,3,1,1.2,1904,King Field,Southwest,5280,0
2007,1,281349.64632785576,2442,4,2,2,1924,Near - North,Near North,4961,1
2014,7,148724.99136834836,2217,3,3,1.7,1912,Folwell,Camden,5307,0
2010,8,231886.96925060687,1452,2,1,1.2,1910,Kenny,Southwest,5120,1
2011,8,268592.7980681627,1932,3,2,1.2,1915,Field,Nokomis,4680,0
2015,2,646362.1453034307,3552,4,4,2,1919,Fulton,Southwest,5760,1
2009,6,219664.75161785932,1606,2,1,1.7,1921,Powderhorn Park,Powderhorn,3390,0
2013,7,166052.38299699442,2823,6,3,1.5,1914,Como,University,5040,0
2005,2,174205.4054054054,1869,3,1,1.7,1908,Near - North,Near North,2800,0
2013,7,257934.70158866467,1888,2,1,1.2,1952,Armatage,Southwest,5080,0
2015,6,265790.1092751318,2172,2,2,1.2,1913,Corcoran,Powderhorn,8772,1
2014,8,246466.97549060895,2496,4,2,1.2,1942,Windom Park,Northeast,9500,2
2006,6,274560.8404360753,2367,4,2,2,1925,Hiawatha,Longfellow,6144,0
2014,4,140541.27239203616,2414,3,2,2,1925,Willard - Hay,Near North,7112,1
2009,4,338781.1893243821,2286,4,2,1,1955,Windom,Southwest,6350,2
2008,6,284543.85343713645,1872,3,2,2,1923,Keewaydin,Nokomis,8394,0
2009,9,240671.24677454474,1824,2,1,1.2,1924,Cooper,Longfellow,5080,0
2015,8,175469.3172795369,1491,2,1,1,1916,Waite Park,Northeast,12500,0
2014,6,184648.28626950103,1472,2,1,1,1922,Standish,Powderhorn,4750,0
2005,7,152128.06567470497,1824,3,1,1,1925,Jordan,Near North,4921,0
2015,8,292340.54773917905,2216,3,2,1,1956,Bancroft,Powderhorn,6667,2
2013,4,216895.30062943007,1910,3,1,1.2,1945,Wenonah,Nokomis,5120,0
2005,7,310870.3950743971,2100,4,3,1.2,1946,Waite Park,Northeast,5000,0
2006,12,539513.5401280158,3627,4,4,2,1927,Fulton,Southwest,6400,1
2010,7,177723.8574481285,1696,2,1,1.5,1906,Corcoran,Powderhorn,6840,0
2015,6,189850.07805366555,2009,2,2,1,1900,Marshall Terrace,Northeast,4710,0
2014,6,102159.73460466803,2176,3,1,1.2,1953,Cleveland,Camden,5429,0
2009,3,272996.5410950846,2601,3,2,1.5,1916,Bancroft,Powderhorn,5078,1
2015,7,259845.1380895166,1713,3,1,1.5,1915,Northrop,Nokomis,5264,0
2011,11,442627.99941893475,2056,3,2,1.5,1906,ECCO,Calhoun-Isles,5376,1
2015,7,359277.3334901737,2234,3,3,1.2,1952,Armatage,Southwest,5715,0
2012,8,761412.747153333,4071,5,4,2,1902,East Harriet,Southwest,5628,2
2005,5,372885.9504132232,1680,3,2,1,1951,Lynnhurst,Southwest,5120,0
2005,5,332800.71074380167,1777,3,2,2,1917,Field,Nokomis,5160,1
2015,6,347045.94268210063,1856,3,1,1.2,1941,Lynnhurst,Southwest,5166,1
2006,6,265106.44202180376,2667,4,3,2,2005,Ventura Village,Phillips,7268,0
2010,9,464207.2248310617,3461,3,4,1.7,1952,Diamond Lake,Nokomis,11214,2
2010,9,377389.8430878479,1886,2,1,1.7,1913,East Harriet,Southwest,5628,1
2013,7,426201.11635895236,2943,3,2,2.2,1905,Lowry Hill East,Calhoun-Isles,5147,0
2013,7,354798.59167024476,1794,3,2,1.2,1952,Fulton,Southwest,5625,1
2006,9,216124.65483234712,1920,4,2,1,1979,Jordan,Near North,5214,0
2007,8,453157.0254301358,2421,3,3,2,1921,Lynnhurst,Southwest,5400,1
2011,7,160028.29521506687,1820,3,2,1,1975,Bancroft,Powderhorn,5199,0
2014,4,221333.42354990952,2076,3,2,1.7,1916,Bancroft,Powderhorn,4854,1
2010,10,194219.91919099688,2392,3,2,1.7,1908,Keewaydin,Nokomis,7686,0
2015,7,324941.8150348269,2872,3,3,1,1971,Bryn - Mawr,Calhoun-Isles,7250,2
2009,5,164603.01752870597,1648,4,2,1,1925,Como,University,5080,0
2009,8,151383.1186613753,2596,5,3,2,2003,Willard - Hay,Near North,5000,0
