saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces
2005,7,316161.80605438683,1716,4,1,1.5,1903,Como,University,5240,0
2013,9,317941.4243140479,2138,3,3,2,1901,King Field,Southwest,5280,0
2013,6,521315.924197122,2840,3,3,2,1937,Lynnhurst,Southwest,10580,2
2013,12,184537.39151922087,1344,3,1,2,1893,Lyndale,Powderhorn,2728,0
2014,10,190031.58825759173,2722,4,2,2,1950,Wenonah,Nokomis,5000,1
2015,5,238785.35533605344,1924,3,1,1.7,1911,Diamond Lake,Nokomis,11600,0
2010,7,177723.8574481285,2463,4,3,1.5,1917,Como,University,5360,1
2010,4,100092.20479938181,2218,4,1,1.2,1918,Webber - Camden,Camden,5064,0
2006,9,324186.9822485207,1804,3,2,1.2,1951,Kenny,Southwest,7008,1
2015,6,123673.76513210214,1740,2,1,1.7,1924,Webber - Camden,Camden,5748,0
2007,11,380314.67410379736,2229,4,1,1.2,1923,Fulton,Southwest,5120,1
2009,8,203439.76420896288,2448,3,4,2,2001,Sheridan,Northeast,5397,0
2005,8,555748.1121876595,3124,5,3,1.5,1948,Armatage,Southwest,8865,2
2007,3,169548.34184170532,1560,2,2,1.5,1907,Harrison,Near North,5880,0
2013,12,372919.31202842545,2610,3,2,1,1976,St. Anthony West,Northeast,18315,2
2009,5,133134.79358939454,1824,3,1,1.7,1923,Bryant,Powderhorn,5376,0
2005,6,556378.06917914306,2816,2,2,1.2,1939,Armatage,Southwest,6350,1
2010,10,1035839.56901865,6794,3,6,3,1900,Lowry Hill,Calhoun-Isles,9450,2
2014,5,119978.62551600131,2028,4,2,1,1985,Central,Powderhorn,5418,0
2011,8,290771.2311924496,2146,2,2,2.5,1912,Ericsson,Nokomis,5040,0
2015,7,213378.45853953637,1812,2,2,1.2,1926,Minnehaha,Nokomis,5120,0
2009,10,338193.8672295378,2112,5,2,1,1951,Kenny,Southwest,7620,2
2015,11,180572.23139523648,1780,2,1,1.2,1923,Bryant,Powderhorn,5460,0
2005,10,699271.5218483176,2864,4,3,2,1935,Lynnhurst,Southwest,6300,2
2014,9,125938.86565856905,1947,3,1,1.2,1949,Shingle Creek,Camden,9516,0
2009,11,802488.0893414475,3253,3,4,2,1938,Lynnhurst,Southwest,9600,2
2015,6,813643.1916585667,4112,3,3,1,1999,Linden Hills,Southwest,6576,1
2010,4,218210.49387542953,2090,2,2,1.5,1917,Hiawatha,Longfellow,5040,0
2007,10,357421.2916487404,2412,3,3,1.2,1946,Armatage,Southwest,5842,1
2013,12,241656.10794183685,2116,2,1,1,1951,Windom,Southwest,5120,1
2007,8,350731.1224219544,2666,4,2,1.2,1925,Howe,Longfellow,5248,1
2008,6,397175.7954226696,2880,3,2,2,2006,Standish,Powderhorn,5124,0
2015,12,304711.63899882656,1414,2,2,1.5,1908,Tangletown,Southwest,5720,0
2015,3,652273.6549479609,5237,7,4,2.2,1916,Prospect Park - East River Road,University,15408,2
2012,6,388105.651922774,2260,3,2,2,1925,Fulton,Southwest,5376,1
2015,7,465749.93488325196,3048,4,2,1,1955,Lynnhurst,Southwest,8308,2
2007,7,271357.08058168716,2552,4,2,1.2,1922,Howe,Longfellow,6784,1
2013,8,264498.8691659242,1825,3,1,2,1900,Whittier,Powderhorn,6136,0
2014,5,272060.3753197309,2244,3,1,1.2,1941,Howe,Longfellow,6477,0
2015,2,449057.3616269089,2810,3,2,2,1916,CARAG,Calhoun-Isles,5154,1
2015,6,157304.3503873229,1834,3,2,1,1955,Shingle Creek,Camden,6337,0
2009,10,589338.5383517544,3339,3,2,1.7,1900,Field,Nokomis,6730,1
2010,10,224235.72488415093,3042,2,2,1,1956,Northrop,Nokomis,4920,3
2013,4,298092.0029163449,1952,3,2,1,1952,Armatage,Southwest,6096,0
2007,8,221575.16254388035,2077,2,2,1.2,1925,Webber - Camden,Camden,6400,0
2015,9,444003.8063478429,2896,3,3,1.5,1940,Diamond Lake,Nokomis,6900,1
2011,12,652437.4733191623,4412,3,4,2.5,1915,Lowry Hill,Calhoun-Isles,6750,1
2009,2,242424.01448014856,1778,3,2,1,1993,Corcoran,Powderhorn,5340,1
2008,12,121961.41874568352,2080,3,1,1,1961,St. Anthony East,Northeast,5120,0
2010,1,193111.93996910175,2326,4,1,1.7,1909,Central,Powderhorn,5350,0
2010,6,358486.2177081847,2232,3,2,2,1951,Kenny,Southwest,6600,1
2006,2,312905.75727181544,1888,2,1,1.2,1919,Cooper,Longfellow,5040,0
2008,10,279216.756146455,1836,3,2,1.5,1910,King Field,Southwest,5480,0
2006,10,280937.49380881625,1956,3,2,1.2,1951,Armatage,Southwest,5715,1
2005,11,265502.75618374563,1952,2,2,2,1921,Bryant,Powderhorn,4935,1
2006,9,277148.08678500983,2382,3,1,1.2,1940,Audubon Park,Northeast,5000,1
2015,4,556638.4164049072,3080,5,3,2.2,1914,King Field,Southwest,6261,1
2009,9,150494.1791245292,1768,2,2,1,1952,St. Anthony West,Northeast,6427,0
2015,1,1142238.0690701052,6023,7,5,2.5,1898,Kenwood,Calhoun-Isles,16970,2
2014,8,214980.00505348272,2035,3,1,1.2,1921,Howe,Longfellow,5320,0
2015,4,267295.58466188586,1728,3,2,2,1925,Longfellow,Longfellow,5120,0
2015,7,292447.63353134424,1900,3,1,1,1950,Kenny,Southwest,6350,0
2008,9,259146.82675658018,2700,3,2,1.2,1953,Waite Park,Northeast,8712,1
2010,6,224113.2380904148,2112,3,2,1.2,1926,Standish,Powderhorn,5418,0
2014,8,325727.2803840647,2740,4,1,1.7,1910,Linden Hills,Southwest,3612,0
2013,6,365919.411473682,2806,5,2,1.5,1919,Cooper,Longfellow,4960,1
2015,9,143839.8639146435,963,2,1,1,1923,Waite Park,Northeast,5000,0
2010,4,227579.3139929072,1892,4,1,2,1900,Logan Park,Northeast,5174,0
2009,7,387229.49246947275,3088,2,3,1,1949,Hiawatha,Longfellow,8917,1
2006,2,239204.81444333,1584,2,1,1.2,1924,Willard - Hay,Near North,5120,0
2014,7,295821.6069187951,2486,3,1,1.2,1955,Kenny,Southwest,10000,2
2006,5,243351.01838052657,2078,3,1,1.2,1938,Holland,Northeast,5061,0
2011,11,241175.51250390676,2526,3,3,1,1924,Ericsson,Nokomis,5246,1
2008,2,329724.56238510116,1747,3,3,1.7,1906,King Field,Southwest,4719,0
2015,10,178944.2778242819,1165,1,1,1.2,1918,Audubon Park,Northeast,5000,0
2006,10,341594.45269935613,2451,4,3,1,1951,Armatage,Southwest,6350,2
2007,5,199520.39853933398,2097,4,2,1,1950,Victory,Camden,6250,2
2009,7,204120.9727746058,2374,3,1,2.2,1909,Powderhorn Park,Powderhorn,5158,0
2014,7,189977.17875518952,1992,3,2,1.2,1948,Morris Park,Nokomis,5120,0
2014,7,251855.45983545124,1973,1,2,1.5,1918,Hiawatha,Longfellow,5000,0
2010,3,741374.6302098429,3324,4,2,1.7,1909,Kenwood,Calhoun-Isles,7000,1
2013,4,171847.8151140869,1852,3,2,1.2,1925,Regina,Nokomis,5160,0
2011,8,960115.2026040884,3712,3,4,2,2007,Cedar - Isles - Dean,Calhoun-Isles,7200,2
2007,5,266858.5330463592,2142,3,3,1.2,1924,Audubon Park,Northeast,3696,0
2006,3,438830.13319979975,1909,3,2,2,1924,Northrop,Nokomis,5043,1
2006,4,312163.5874439462,2160,4,2,1,1987,Audubon Park,Northeast,4699,0
2015,5,220998.8379795866,2264,3,2,1,1959,Wenonah,Nokomis,6400,0
2009,8,295586.01035066956,2152,3,1,1.2,1939,Windom Park,Northeast,6615,1
2012,1,131263.44649362276,2624,4,1,1.5,1926,Willard - Hay,Near North,5800,0
2006,6,242748.06739345886,3029,4,2,1.5,1929,Folwell,Camden,4982,2
2005,5,219603.19008264464,1193,2,1,1,1916,Lind - Bohanon,Camden,5198,0
2013,5,783835.3033511145,3017,4,3,2,1913,Fulton,Southwest,10160,1
2015,7,251209.26778527437,1959,3,1,1.2,1951,Northrop,Nokomis,6125,0
2012,10,378436.0079088923,2257,3,2,1.2,1942,Armatage,Southwest,6350,1
2005,10,183882.51130085386,1616,2,1,2,1909,Powderhorn Park,Powderhorn,2157,0
2005,2,245227.60914760915,1560,2,2,1,1923,Como,University,5280,0
2015,9,325675.1635803249,2716,4,2,1.5,1928,Audubon Park,Northeast,5040,1
2013,8,231919.67651291893,2552,3,2,1.5,1930,Victory,Camden,6404,1
2010,7,752364.329863744,3092,5,4,2,1949,Armatage,Southwest,7620,2
2013,5,267949.37320229586,1980,2,2,1.2,1920,Northrop,Nokomis,5185,0
2012,10,159054.42802994326,2476,3,2,1.2,1931,Folwell,Camden,5371,1
2011,11,161729.46132614923,1920,2,1,1.2,1923,Hiawatha,Longfellow,5200,1
2005,7,336136.8825038481,1864,3,2,1,1925,Windom,Southwest,6750,0
2007,7,155859.55886957317,1625,2,1,1.7,1919,McKinley,Camden,4992,0
2005,4,241052.7950438823,2056,3,1,1,1956,Shingle Creek,Camden,5069,0
2009,8,321793.8387987654,2496,4,2,1.2,1925,Victory,Camden,6333,1
2014,10,267021.52887166745,2341,4,2,1.2,1928,Ericsson,Nokomis,5040,1
2009,11,553071.7291031791,3288,4,2,2,1920,Fulton,Southwest,5120,1
2014,11,217588.6034019318,2152,3,1,1.7,1928,Field,Nokomis,5805,1
2006,10,257951.6988608222,1944,3,2,1.2,1923,Corcoran,Powderhorn,6255,0
2005,6,299485.8027878162,2257,3,2,2.5,1911,Powderhorn Park,Powderhorn,4920,0
2010,5,142385.1995029684,1830,3,1,1.7,1915,Webber - Camden,Camden,13560,0
2007,1,664086.5525936777,3148,5,4,2,1903,Linden Hills,Southwest,6280,1
2014,10,280160.8558311924,2169,3,2,1.2,1931,Keewaydin,Nokomis,4773,1
2005,1,423875.5741127349,3403,4,2,1.2,1942,Diamond Lake,Nokomis,5980,2
2010,7,1042646.6303623539,4784,2,2,1.5,1948,West Calhoun,Calhoun-Isles,10286,2
2008,1,249106.48807111144,1717,3,1,2,1884,Whittier,Powderhorn,4742,0
2013,2,342013.5744858052,3317,4,2,1.5,1914,King Field,Southwest,4840,1
2009,8,205833.17319965656,2142,3,2,2,1988,East Phillips,Phillips,5073,0
2008,10,130697.20500472361,1743,3,1,1,1892,Webber - Camden,Camden,5937,0
2008,12,325636.98805097496,2502,4,2,2,1922,Cleveland,Camden,7618,1
2005,2,316249.8128898129,3163,4,4,2,1980,Willard - Hay,Near North,7596,0
2009,8,209423.28668569706,2288,2,1,1.2,1921,Standish,Powderhorn,4187,1
2008,7,327259.52441830735,2297,3,2,1.2,1925,Bryant,Powderhorn,4872,1
2015,6,314608.7007746458,2545,3,2,1.2,1939,Northrop,Nokomis,5361,1
2011,6,424343.12251452357,2862,3,3,1,1951,Linden Hills,Southwest,6900,0
2005,9,145252.95774647887,1728,2,1,1,1917,McKinley,Camden,5042,0
2005,8,282672.9219785824,2206,3,1,1.7,1913,Folwell,Camden,4972,1
2008,1,191751.23813473847,2472,4,2,1.5,1926,Jordan,Near North,5106,0
2008,11,266105.94267967145,2442,4,2,1,1953,Armatage,Southwest,6912,2
2013,5,528115.9845273467,2780,5,3,2,1937,Lynnhurst,Southwest,6300,2
2006,7,761146.2592410054,3454,4,4,1.7,1940,Bryn - Mawr,Calhoun-Isles,5339,2
2010,3,290618.85504225845,1936,3,2,2.2,1900,King Field,Southwest,4370,0
2009,5,127083.21206260387,2853,3,2,1.5,1917,Willard - Hay,Near North,6400,0
2012,9,347649.1829534879,2316,3,1,2,1919,CARAG,Calhoun-Isles,5418,1
2015,4,176814.55579920585,2582,3,1,1.7,1912,Corcoran,Powderhorn,8892,0
2009,12,404505.16455253586,2894,3,2,2,1931,Hale,Nokomis,5992,1
2013,9,471392.32007673074,2295,4,2,2,1936,Howe,Longfellow,7052,1
2014,7,179121.3399691787,1320,3,1,1.5,1925,Waite Park,Northeast,5000,0
2013,8,1032594.7501884724,4069,5,4,2.5,1923,Cedar - Isles - Dean,Calhoun-Isles,11000,2
2015,12,320435.1933243888,2296,3,1,1.2,1924,Tangletown,Southwest,5658,0
2006,6,261784.62636273538,2252,2,1,1.2,1926,Longfellow,Longfellow,5078,0
2014,2,194834.4576666228,2272,3,2,1.2,1939,Sheridan,Northeast,6000,0
2006,2,284459.7793380141,2700,5,2,2,1927,Folwell,Camden,4899,1
2013,12,173003.80454926955,1151,3,1,1.2,1950,Armatage,Southwest,5805,0
2005,11,312354.8822614841,2250,3,3,2,2001,McKinley,Camden,5819,0
2011,2,184394.04050509693,2028,3,1,1.2,1952,Standish,Powderhorn,5079,0
2013,3,358517.4572287134,2414,3,3,1,1949,Armatage,Southwest,6350,1
2006,12,217709.58148695226,2080,3,1,1.5,1952,Shingle Creek,Camden,6250,0
2009,10,176241.874471731,2592,3,2,2,2009,Jordan,Near North,6100,0
2010,5,225324.5782134475,1941,3,3,1.7,1887,Lyndale,Powderhorn,6202,0
2005,9,204261.97183098592,1283,1,1,1,1921,Morris Park,Nokomis,5120,0
2007,4,394429.2485818634,2725,4,2,1.7,1908,Seward,Longfellow,4551,0
2015,8,507669.5617834503,2658,3,3,1.2,1924,Fulton,Southwest,5080,1
2014,8,135719.70016002696,2004,3,1,1.2,1953,Folwell,Camden,4993,0
2011,7,257257.78122850994,2040,2,2,1,1953,Windom Park,Northeast,6368,2
2006,2,230153.8214643932,1292,2,1,1.2,1913,Minnehaha,Nokomis,6400,0
2014,8,567851.2254695528,4010,3,3,2,1900,Hale,Nokomis,16965,2
2012,12,158895.25605373216,2268,2,2,1.5,1949,Morris Park,Nokomis,5120,0
2015,8,454920.4522062068,3170,3,3,1,1952,Cedar - Isles - Dean,Calhoun-Isles,6669,1
2014,5,261069.13615681374,2450,4,1,1.5,1921,Northrop,Nokomis,4920,0
2009,4,205935.32760720045,1939,2,1,1.2,1954,Windom,Southwest,6550,1
2005,9,312553.23943661974,2106,3,1,1.5,1903,Windom Park,Northeast,6600,1
2005,12,299211.1943462898,2376,4,2,1,1952,Waite Park,Northeast,6200,2
2009,9,274114.3976911068,1946,3,1,1.5,1922,Bancroft,Powderhorn,4852,0
2006,12,276103.98818316107,1404,3,2,1,2000,Central,Powderhorn,5418,1
2014,1,290381.82992757816,2548,3,2,1.5,1926,Ericsson,Nokomis,4886,1
2015,9,225801.44674902526,1978,3,1,1.2,1950,Wenonah,Nokomis,5332,1
2006,8,232775.34838076547,1432,2,1,1.2,1910,Lyndale,Powderhorn,1988,0
2014,4,185353.11331765822,2364,4,1,1.7,1900,Como,University,5240,0
2014,9,179137.17960055082,1688,3,2,1.2,1927,Howe,Longfellow,4191,0
2012,12,104815.11627404086,1288,2,2,1,1927,Victory,Camden,6315,0
2012,6,250835.84183718121,2016,4,2,1,1971,Armatage,Southwest,8567,0
2015,8,226377.08216927908,2064,4,2,1.2,1922,Cooper,Longfellow,5040,0
2015,9,250227.0840175496,1644,2,2,1.2,1947,Wenonah,Nokomis,5130,0
2015,7,417008.6626280279,2704,4,2,1.5,1932,Page,Nokomis,6000,1
2006,5,247193.40288127173,2520,5,2,1.7,2005,Near - North,Near North,5382,0
2007,4,269213.6141114306,1872,2,1,2,1910,Central,Powderhorn,4680,0
2009,7,105662.62120097241,2756,3,1,1.2,1934,Bottineau,Northeast,6280,0
2015,10,672396.6803094228,3022,4,3,2.5,1913,Lynnhurst,Southwest,7500,1
2013,4,221344.4350013158,1980,3,1,1.2,1916,Standish,Powderhorn,4884,0
2005,11,326672.5088339223,1738,2,1,1.7,1916,King Field,Southwest,5280,0
2013,3,332988.35036722606,2228,3,1,1.7,1917,East Harriet,Southwest,5628,0
2012,12,133806.53141366917,1731,2,1,1.7,1900,Logan Park,Northeast,5331,0
2014,1,147820.78814049167,1388,1,1,1,1921,Howe,Longfellow,5080,0
2011,2,201009.25650524115,1908,3,1,1.2,1924,Northrop,Nokomis,4078,0
2013,12,288339.67424878257,1892,2,1,1.2,1926,Cooper,Longfellow,5000,0
2007,9,315253.2522644776,1915,4,2,1.2,1947,Wenonah,Nokomis,6705,1
2014,9,292047.8867427162,2205,4,2,1.2,1946,Kenny,Southwest,6700,0
2015,7,568539.8623726022,3446,3,3,2.2,1902,Whittier,Powderhorn,4200,2
2009,7,430455.11023350694,2349,3,2,2,1961,Howe,Longfellow,7425,1
2012,2,108683.34727520376,2164,2,1,1.2,1925,Victory,Camden,5124,0
2009,10,241737.16566054992,2186,2,2,1,1955,Northeast Park,Northeast,7500,1
2007,9,242312.30370132395,1622,2,2,1.5,1915,Standish,Powderhorn,5080,0
2011,6,137624.79649119684,1948,4,1,1.5,1938,Willard - Hay,Near North,5418,1
2005,4,246243.88229220445,2024,5,2,1,1968,Lind - Bohanon,Camden,4143,0
2005,10,310787.34304369666,1942,3,1,1,1951,Armatage,Southwest,6223,2
2011,6,321124.525146126,3142,4,2,1.7,1908,Fulton,Southwest,5160,0
2015,8,530632.2131805255,2572,3,2,1.5,1931,Linden Hills,Southwest,5760,2
2010,6,118701.67151782467,1357,3,1,1.7,1900,Northeast Park,Northeast,3729,0
2014,5,522355.9206138833,2798,3,3,2,1939,Page,Nokomis,7350,3
2015,9,471143.40331287,2646,4,3,1.5,1961,Fulton,Southwest,5120,1
2005,2,256617.9625779626,1352,2,1,1,1922,Wenonah,Nokomis,6174,0
2009,10,264243.72935998044,1610,2,2,1.2,1938,Hale,Nokomis,5213,2
2006,6,766572.8444003963,2832,3,2,2.5,1910,Kenwood,Calhoun-Isles,6975,1
2009,9,209019.6932285128,1594,2,2,1.2,1924,Howe,Longfellow,5187,0
2005,1,248942.7974947808,2444,3,1,1.2,1940,Victory,Camden,5158,1
2005,4,159725.7614868353,1875,4,1,2,2007,Como,University,5120,0
2005,6,250902.5503355705,2047,5,2,1.7,1912,Folwell,Camden,5722,0
2015,8,931503.7830888996,4353,4,4,2,1940,Lynnhurst,Southwest,11340,2
2005,7,429927.14212416625,1948,2,2,1.2,1925,Fulton,Southwest,5545,1
2014,10,428928.4420671356,2857,4,3,1.5,1931,Field,Nokomis,5400,1
2014,7,154695.70270065434,2056,2,1,2,1911,Corcoran,Powderhorn,3128,0
2013,1,210885.09532586037,2962,4,2,2,1925,Ericsson,Nokomis,5920,0
2007,8,437017.1861682405,1898,4,2,1.5,1911,Linden Hills,Southwest,5535,0
2005,7,521203.9815289892,2491,4,2,1.2,1927,Howe,Longfellow,5376,1
2009,10,188031.0268857184,1758,3,1,1.2,1926,Northrop,Nokomis,4082,0
2013,5,233482.85631735326,1610,3,1,2,1952,Bancroft,Powderhorn,5090,0
2009,7,240022.24975084528,1700,2,2,1.2,1941,Corcoran,Powderhorn,6219,0
2006,4,1233238.863976084,4432,4,3,2,1935,Linden Hills,Southwest,9525,2
2014,11,205512.43591312456,2723,3,3,1.5,1941,Cleveland,Camden,5432,3
2012,5,346075.50948131504,2726,3,4,1.7,1923,Linden Hills,Southwest,7481,1
2013,5,194457.86461859563,1640,2,1,1,1926,Minnehaha,Nokomis,5080,0
2005,12,260296.81978798588,1728,3,2,2,1982,Willard - Hay,Near North,5180,0
2005,8,197082.19071902093,1940,2,1,1.2,1916,McKinley,Camden,5030,0
2009,10,201487.33216633028,1612,2,1,1,1951,Bryn - Mawr,Calhoun-Isles,6750,0
2014,7,307328.7960319666,2165,3,2,1.7,1907,King Field,Southwest,5200,0
2010,5,878576.0080997746,3164,3,3,2,1912,Lynnhurst,Southwest,10800,1
2013,6,230155.43461894215,1816,2,2,2,1926,Keewaydin,Nokomis,4950,0
2015,8,324943.1801472906,1782,2,1,1.7,1918,Cooper,Longfellow,5160,1
2006,4,321155.9541604385,2680,4,2,1.7,1900,East Phillips,Phillips,7180,0
2006,11,403328.6336633663,2880,4,2,1.5,1940,Diamond Lake,Nokomis,6402,2
2012,7,225464.882978258,1872,2,1,1.2,1926,Keewaydin,Nokomis,5120,1
2010,2,148324.05962785517,2004,3,1,1,1956,Shingle Creek,Camden,5060,0
2008,8,226357.89473684214,1748,3,1,1.2,1925,Howe,Longfellow,4480,0
2006,6,212804.45446977203,2057,3,2,1.2,1941,Cleveland,Camden,7468,2
2015,4,434396.2543708884,2997,3,2,1.5,1931,Northrop,Nokomis,6202,1
2014,6,184648.28626950103,1948,3,1,1.7,1911,King Field,Southwest,4847,0
2005,10,321794.39477649424,1596,3,2,2,1918,Cedar Riverside,University,4032,0
2012,10,322783.6538046434,2390,3,2,1.7,1916,King Field,Southwest,5240,1
2006,2,359453.7211634905,2408,4,3,2,1929,Linden Hills,Southwest,5376,0
2007,7,300541.93821861915,1798,3,2,1.2,1953,East Harriet,Southwest,5670,0
2005,6,235462.39339184307,2064,3,2,1,1954,Webber - Camden,Camden,6410,1
2011,5,108952.96388886416,1312,2,2,1,1926,Armatage,Southwest,5805,0
2006,8,269462.7674190383,2242,4,2,1.5,1952,Columbia Park,Northeast,6888,0
2013,4,194649.62877000135,1432,2,2,1,1927,Howe,Longfellow,5120,0
2015,8,312487.0249083111,1956,2,2,1.2,1929,Howe,Longfellow,5120,2
2013,4,360936.02591923106,2696,4,2,2.5,1914,Prospect Park - East River Road,University,5100,0
2010,8,286309.42121758603,2430,3,2,1.2,1927,Howe,Longfellow,5334,1
2006,8,257444.47497546615,1974,2,2,1.2,1926,Keewaydin,Nokomis,5040,0
2011,7,234380.2551076998,2536,3,1,1.2,1932,Lynnhurst,Southwest,6750,1
2014,6,151718.07394480487,2286,3,2,1.2,1925,Willard - Hay,Near North,5418,0
2015,7,132143.00478082962,1509,1,1,1.2,1914,Hiawatha,Longfellow,9010,0
2010,8,170602.55594866077,1976,2,1,1,1955,Northeast Park,Northeast,6250,0
2012,2,202122.7964910283,2324,4,1,1.5,1925,Hiawatha,Longfellow,5040,0
2005,10,245910.48518332498,2096,2,1,1,1908,Corcoran,Powderhorn,8944,0
2010,8,580900.519908408,3060,4,3,1.7,1910,Kenwood,Calhoun-Isles,4410,1
2015,10,202911.96594498874,1568,2,1,1,1921,Standish,Powderhorn,5080,0
2015,5,957317.1421217632,4316,5,4,2,1929,Cedar - Isles - Dean,Calhoun-Isles,7700,2
2005,5,191769.91735537193,1088,3,1,1.5,1900,Ventura Village,Phillips,4000,0
2006,4,321027.49177877436,2038,2,3,1.5,1912,Standish,Powderhorn,4894,1
2014,4,199527.17492430267,2136,3,2,1.5,1910,Howe,Longfellow,6000,0
2014,8,320298.4923776636,2652,4,2,1.5,1931,Diamond Lake,Nokomis,6402,1
2010,11,199599.61746891937,2252,4,2,1.5,1949,Corcoran,Powderhorn,8208,0
2015,8,106148.10551478158,1924,2,1,1.2,1926,Folwell,Camden,5124,0
2015,4,169174.42067207966,2296,3,2,2,2009,Near - North,Near North,5740,0
2013,9,262191.2787312027,1398,2,1,2,1907,Powderhorn Park,Powderhorn,4804,0
2006,11,243784.0792079208,2132,3,1,1.2,1950,Waite Park,Northeast,6200,0
2008,4,1179804.3207972252,4512,4,4,2,1999,Linden Hills,Southwest,8512,1
2007,4,291001.13450928585,1692,2,1,1,1952,Kenny,Southwest,5120,0
2010,8,103166.03938088224,1200,1,1,1,1922,Lind - Bohanon,Camden,5060,0
2011,9,184893.88650335176,1660,2,1,1,1916,CARAG,Calhoun-Isles,5418,0
2009,10,402498.33494219644,2856,3,3,1.2,1947,Lynnhurst,Southwest,5080,0
2005,3,316438.5706887623,1975,3,1,1.2,1917,Cooper,Longfellow,4960,0
2013,10,771257.5309519019,3340,4,3,1.7,1945,Fulton,Southwest,5040,2
2005,4,243581.78626742386,1530,2,1,1,1922,Minnehaha,Nokomis,5120,0
2010,12,146177.2923545847,1392,2,1,1,1927,Como,University,5120,0
2005,3,232321.9886069394,1492,2,1,1,1920,Minnehaha,Nokomis,5400,0
2013,7,133284.71275225419,1478,3,1,1.2,1927,Webber - Camden,Camden,5066,0
2010,11,273568.88747210713,3616,4,3,1.7,1910,Linden Hills,Southwest,7598,1
2013,11,187117.88808201626,1612,3,1,1,1951,Minnehaha,Nokomis,4608,0
2012,11,212949.6084307392,2036,3,1,1.2,1930,Audubon Park,Northeast,5040,0
2010,1,150553.8144633267,2064,2,1,1,1953,Lind - Bohanon,Camden,10240,0
2015,6,251144.53182527758,1788,3,2,1.5,1910,Northrop,Nokomis,4082,0
2007,2,435543.36862103746,2443,4,2,1.5,1925,Howe,Longfellow,5248,0
2010,6,277767.4667010437,2016,3,2,2.5,1910,King Field,Southwest,4875,0
2012,6,568168.6229892703,2608,4,2,1,1977,Cedar - Isles - Dean,Calhoun-Isles,7838,1
2013,5,259054.78819973004,1840,3,2,1.2,1954,Hale,Nokomis,4937,2
2005,5,261686.03305785125,2238,4,2,1,1991,Willard - Hay,Near North,7564,0
2014,9,141409.80389679843,1987,4,2,1.2,1919,Webber - Camden,Camden,5064,0
2013,9,205337.16986948927,1764,3,1,1.2,1927,Ericsson,Nokomis,4992,1
2008,5,248529.7423887588,1466,2,2,1,1949,Kenny,Southwest,5120,0
2012,7,160160.1469880572,1952,2,1,1.2,1924,Standish,Powderhorn,5080,0
2011,6,274676.156330347,2006,3,1,2,1930,Keewaydin,Nokomis,5120,1
2005,10,410715.83341034665,2904,4,4,2,2005,Lind - Bohanon,Camden,5328,1
2014,3,313503.00811768096,2198,2,1,1.2,1930,Northrop,Nokomis,5443,1
2005,12,279819.08127208485,2260,3,2,1.2,1955,Standish,Powderhorn,5000,0
2006,2,277865.4844533601,1846,3,2,1.5,1922,Howe,Longfellow,5200,0
2006,4,225066.0926756353,1436,1,1,1,1931,Sheridan,Northeast,6481,1
2011,5,154827.89605259645,1920,2,1,1,1939,Waite Park,Northeast,5000,0
2006,10,148769.1728578504,1344,1,1,1.2,1912,Jordan,Near North,5132,0
2006,11,176137.18811881187,990,1,1,1,1916,Lind - Bohanon,Camden,5138,0
2005,12,377039.94346289756,2084,3,2,1.7,1903,Lyndale,Powderhorn,5805,1
2006,9,209768.04733727808,2012,3,1,1.2,1948,Victory,Camden,6315,0
2005,8,301079.53085160634,1744,3,1,1.7,1911,King Field,Southwest,3696,0
2005,8,212859.28403875575,2370,4,1,1.2,1927,Folwell,Camden,5580,0
2008,6,841775.5664181953,3244,3,2,2,1917,Lynnhurst,Southwest,6418,1
2009,5,260218.0056519984,2117,3,1,1.2,1941,Audubon Park,Northeast,5000,1
2006,8,217594.3473994112,2184,2,1,2,1905,Powderhorn Park,Powderhorn,4706,0
2006,2,250841.80541624877,1622,3,2,1.7,1916,Longfellow,Longfellow,5600,0
2014,9,217135.97527339493,2142,2,1,1,1923,Standish,Powderhorn,5078,0
2006,6,281715.5203171457,2184,5,3,2,1979,Central,Powderhorn,5766,0
2010,9,316440.49753751,2632,3,3,1.5,1927,Standish,Powderhorn,4897,2
2008,4,295252.358115751,2144,4,3,1,2005,Waite Park,Northeast,7465,0
2012,12,489285.88320265035,3160,5,4,2,1967,Kenny,Southwest,5080,1
2005,3,347147.7990678405,3288,5,2,2.2,1900,Hawthorne,Near North,9075,0
2005,6,300816.85080020654,1908,3,2,1.2,1952,Standish,Powderhorn,5079,0
2008,5,206059.84907624254,2225,4,1,1.7,1903,Central,Powderhorn,4740,0
2015,9,222544.695113222,2080,4,2,1,1949,Morris Park,Nokomis,6750,0
2010,12,245577.85115570232,1704,4,2,1,1989,Sheridan,Northeast,6336,0
2010,4,144683.04485218698,1894,2,1,1,1923,Webber - Camden,Camden,4727,0
2009,6,402118.53438242007,2352,3,2,2.5,1906,Lowry Hill East,Calhoun-Isles,5656,0
2006,4,500874.8261086199,2391,4,3,1.7,1940,Page,Nokomis,4760,0
2007,11,330176.7267139077,2353,3,2,1.2,1948,Diamond Lake,Nokomis,6477,2
2013,10,1006275.9202119237,4384,6,5,2,1923,Tangletown,Southwest,12645,2
2014,10,264849.7392915807,2229,4,3,1.2,1935,Field,Nokomis,5160,1
