email_minutes
30
60
1200
60
10
10
1200
1260
480
60
240
1920
2640
480
960
120
70
60
120
720
120
120
1800
900
300
60
60
480
120
90
720
60
60
900
1200
240
1500
60
600
60
840
1800
240
60
1200
30
90
120
120
600
120
420
2
1500
60
600
60
30
15
1200
180
120
60
5
120
120
30
300
10
120
1200
210
420
840
60
570
600
120
90
120
120
1200
45
2100
1200
420
150
70
50
3600
240
30
30
120
480
600
600
120
2400
60
300
420
120
900
5
60
300
30
1800
600
10
300
1500
60
